SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
GLS19V5KOOQZ,Stunnair Split AC 1.5 - 5 Star,₹ 65 440.00,₹ 87 990.00,Not Available,80%,Not Available,1 N,Stylish Sliding Fascia | AI Modes (Find Me & Miss Me) | I.N.D.R.I (Individual Detection & Range Imaging) | M.A.D.M (Multi-Directional Air Delivery Mechanism) | Mood On (Mood-Lighting) | Mood On (Mood-Lighting in Standby) | Ambi-Lighting (Temperatue Based) | Ambi-Lighting (Air Quality Based) | In-Built Air Purifier | ACP Mode (AC Convertible to Air Purifier) | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls19v5kooqz_3__1.jpg
GLS18V5FBGST,Stellar Art Split AC 1.5 - 5 Star,₹ 59 910.00,₹ 83 390.00,Not Available,100%,Not Available,1 N,Mood On (Mood-Lighting) | Mood On (Mood-Lighting in Standby Mode) | Ambi-Lighting (Temperatue Based) | Ambi-Lighting (Air Quality Based) | In-Built Air Purifier | ACP Mode (AC Convertible to Air Purifier) | Plasma Protective Shield | Puro Air Ionizer | High CO2 Alert | Real Time Sensing IAQ / PM 2.5 / PM 10 | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18v5fbgst_1_1.jpg
GLS18V5FWMGT,Stellar Grace Split AC 1.5 - 5 Star,₹ 59 910.00,₹ 83 490.00,Not Available,80%,Not Available,1 N,Mood On (Mood-Lighting) | Mood On (Mood-Lighting in Standby Mode) | Ambi-Lighting (Temperatue Based) | Ambi-Lighting (Air Quality Based) | In-Built Air Purifier | ACP Mode (AC Convertible to Air Purifier) | Plasma Protective Shield | Puro Air Ionizer | High CO2 Alert | Real Time Sensing IAQ / PM 2.5 / PM 10 | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18v5fwmgt_1.jpg
GLS18H5FWKGT,Stellar Duo Split AC 1.5 - 5 Star,₹ 61 750.00,₹ 87 490.00,Not Available,100%,Not Available,1 N,Mood On (Mood-Lighting) | Ambi-Lighting (Temperatue Based) | Ambi-Lighting (Air Quality Based) | In-Built Air Purifier | ACP Mode (AC Convertible to Air Purifier) | Plasma Protective Shield | Puro Air Ionizer | High CO2 Alert | Real Time Sensing IAQ / PM 2.5 / PM 10 | In-Built WiFi | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18h5fwkgt_1.jpg
GLS18V5FWGST,Stellar Classic Split AC 1.5 - 5 Star,₹ 58 060.00,₹ 82 490.00,Not Available,100%,Not Available,1 N,Mood On (Mood-Lighting) | Ambi-Lighting (Temperatue Based) | Ambi-Lighting (Air Quality Based) | In-Built Air Purifier | ACP Mode (AC Convertible to Air Purifier) | Plasma Protective Shield | Puro Air Ionizer | High CO2 Alert | Real Time Sensing IAQ / PM 2.5 / PM 10 | In-Built WiFi | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stellar.jpg
GLS18V5FWSSL,Stellar Lite Split AC 1.5 - 5 Star,₹ 48 850.00,₹ 75 490.00,Not Available,100%,Not Available,1 N,Mood On (Mood-Lighting) | Ambi-Lighting (Temperatue Based) | In-Built WiFi | Door Open Alert | 6 in 1 Convertible AC (40 / 60 / 80 / 100 / 110 / Auto) | Installation Check | Low Gas Detection | Clean Air Filter | Clean Filter Indication | Turbo Cool | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stellar_1.jpg
GLS18V5KONMY,Stylus Split AC 1.5 - 5 Star,₹ 46 080.00,₹ 72 490.00,Not Available,100%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | In Built WiFi | Automatic Humidity Control | Clean Air Filter | Golden Fin Condenser | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stylus_wood_closed.jpg
GLS18V3KONMY,Stylus Split AC 1.5 - 3 Star,₹ 40 550.00,₹ 64 490.00,Not Available,100%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | In Built WiFi | Automatic Humidity Control | Clean Air Filter | Golden Fin Condenser | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stylus_marble_closed.jpg
GLS12V5FOGSY,Stylus Split AC 1.0 - 5 Star,₹ 39 630.00,₹ 61 490.00,Not Available,100%,Not Available,1 N,Changeable Fascia (Marble & Wood) | 6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Automatic Humidity Control | Smart 4-Way Swing | Turbo Cool | Low Gas Detection | Cleaning Filter Indication | Anti Viral Dust Filter | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stylus_5_star.jpg
GLS12V3FOGSY,Stylus Split AC 1.0 - 3 Star,₹ 35 020.00,₹ 54 990.00,Not Available,95%,Not Available,1 N,Changeable Fascia (Marble & Wood) | 6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Automatic Humidity Control | Smart 4-Way Swing | Turbo Cool | Low Gas Detection | Cleaning Filter Indication | Anti Viral Dust Filter | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12v3fogsy.jpg
