SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
GHFMGFQB080,Craft Mixer Grinder,8 999.00,15 995.00,Not Available,Not Available,Not Available,1 N,Powerful 800 W BLDC Motor | 50 % Quieter Performance | Lifetime Warranty on Motor | Unique Touch Control | Perfect Grinding Mode | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/r/craft_mg_1.jpg
GHCRCSBB070,Craft Rice Cooker,4 999.00,7 995.00,Not Available,90%,"700 W, 1.8 L Blue & Gold",1 N,Triple Safety Protection : Safety and durability built-in | Keep Warm Mode : The Keep Warm mode keeps your food perfectly warm for up to 6 hours | Capacity : Large 1.8 L Capacity | Wattage : 700 W | Warranty : 2 Years Product Warranty* | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcrcsbb070_4_.jpg
GHBKTBCB160,Craft Electric Kettle,4 099.00,6 595.00,Not Available,Not Available,1.5 L,1 N,1.5 L Capacity | 1600 W | Strix Controller: Enhanced durability with 5X lifespan | Intelligent Preset Modes | Live Temperature Display | Keep Warm | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghbktbcb160.jpg
GHCPTFRB085,Craft 2 Slice Pop Up Toaster,3 599.00,6 295.00,Not Available,Not Available,850 W,1 N,850 W | Defrost Mode | Reheat Mode | Intelligent Operation | Custom Browning Level with Timer | Display Panel with Touch Control | 2 Years Product Warranty* | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghcptfrb085_3_.jpg
GHFHBFPB030,Craft Hand Blender,1 899.00,2 795.00,Not Available,95%,Not Available,1 N,50 % Quieter Operation | Easy Blending with 300 W Power | Easy to Clean Body | Food Grade Material - SS 304 Shaft and Blade | Ergonomic One Button Operation | 2 Years Product Warranty* | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfhbfpb030.jpg
GHFJMDHK095,Hexo Black 950 W Juicer Mixer Grinder,6 790.00,10 075.00,Not Available,93%,"Black 950 W, 2 Jar",1 N,950 W Powerful Motor enhances durability & life of motor | Fine Hygienic Stainless Steel sieve ensures longevity | 1 L Polycarbonate Juice Serving Jar to collect & serve juice directly | Large size online pulp container allows the user to do continuous juicing | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfjmdhk095.jpg
GHFJMDDE050,Vitonica 500 W Juicer Mixer Grinder,4 499.00,6 295.00,Not Available,93%,"Blue and White 500 W, 3 Jar",1 N,500 W Powerful Motor enhances durability & life of motor | Fine Hygienic Stainless Steel sieve ensures longevity | 1 L Polycarbonate Juice Serving Jar to collect & serve juice directly | Large size online pulp container allows the user to do continuous juicing | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfjmdde050.jpg
GHFMGDEK050,Capture 500 W Mixer Grinder,2 599.00,4 115.00,Not Available,Not Available,"Black and Grey 500 W, 3 Jar",1 N,Powerful 500 W Motor | High Speed Grinding at 21000 rpm for faster & 30 minutes rating for longer grinding sessions | Superior 304 Stainless Steel Blade : New design blade for best grinding results | 1 Year Warranty on Motor & on Product | 3 speed control With pulse function. | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgdek050.jpg
GHFMGCIE050,Mixwell N 500 W Mixer Grinder,2 599.00,4 220.00,Not Available,Not Available,"Black and Grey 500 W, 3 Jar",1 N,Powerful 500 W Motor | High Speed Grinding at 21000 rpm for faster & 30 minutes rating for longer grinding sessions | Superior 304 Stainless Steel Blade : New design blade for best grinding results | 2 Year Warranty on Motor & 1 Year on Product | Speed: 3 speed control With pulse function. | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgcie050.jpg
GHFMGELK075,ESO 750 W Mixer Grinder,4 299.00,5 970.00,Not Available,Not Available,"Green and Black 750 W, 4 Jar",1 N,750 W Powerful Motor | High Speed Grinding at 21000 rpm for faster & 30 minutes rating for longer grinding sessions | Superior 304 Stainless Steel Blade : New design blade for best grinding results | 5 Year Warranty on Motor & 2 Year on Product | 3 Speed Control With Pulse Function. | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghfmgelk075.jpg
