SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
FHCVI5SWHT48,Epic Voice BLDC+ Ceiling Fan,₹ 4 709.00,₹ 7 520.00,Not Available,95%,1200 mm (Elegant White),1 N,"Direct Voice command with no need of Wifi/Bluetooth or Smartphone; Just Say "" HELLO HAVELLS"" to operate the fan | 5-Star Rated BLDC fan delivering powerful airflow, uses 65 % less electricity than conventional fans, saves up to ‚¹ 1900* annually. | Sleek design with quiet performance. Modern finish & refined details make it a perfect fit for stylish & contemporary spaces | Boost, Breeze, Sleep, MOP, Timer Modes with Reverse rotation Feature | Peak Speed of 380 RPM with 7.5 Service value | Aluminium Rust free Blades | Peak Air Delivery of 235 m³/min | Epic Voice BLDC+ Direct Voice command | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_epic_odv_pro_voice-white.jpg
FHCPP5SGRY48,Epic Pro BLDC+ Ceiling Fan,₹ 3 769.00,₹ 6 010.00,Not Available,80%,1200 mm (Grey),1 N,BLDC Motor | ISI Marked | 100 % Copper wire motor | 5 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcpp5sgry48_1_1.jpg
FHCE15SGRY48M,Elio BLDC+ Ceiling Fan,₹ 3 919.00,₹ 7 060.00,Not Available,100%,1200 mm (Grey),1 N,"Specifications : 100 % Copper, BLDC, RF Remote, Sleek & Minimalistic Design | Modes : Boost Mode, Sleep Mode, MOP Mode, Breeze Mode | Sleek & Minimalistic Design with Telescopic Canopy : Elio embodies sophistication with its sleek & minimalistic design, seamlessly blending style with functionality for timeless aesthetics. | Motor Type : BLDC | Guarantee : 2 Year | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhce15sgry48_5_star_1.jpg
FHCPI5SMBL48,Epic BLDC Ceiling Fan,₹ 3 639.00,₹ 5 810.00,Not Available,100%,1200 mm (Matt Black),1 N,BLDC Motor | ISI Marked | 100 % Copper wire motor | 5 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcpi5smbl48_main.jpg
FHCOB5SGMW48E,Ambrose BLDC Ceiling Fan,₹ 4 659.00,₹ 7 430.00,Not Available,100%,1200 mm (Gold Mist Wood),1 N,Guarantee : 2 Year | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcob5sgmw48e.jpg
FHCPS5SMBL48,Epic Signia BLDC+ Ceiling Fan,₹ 4 139.00,₹ 6 600.00,Not Available,100%,1200 mm (Matt Black),1 N,100 % Copper wire motor | LED display for fan speed and modes indication | Sleek and Minimalistic design | BLDC Motor | ISI Marked | 5 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcps5smbl48_1_.jpg
FHCUE5SMBL48,Epic Underlight BLDC+ Ceiling Fan,₹ 4 539.00,₹ 7 250.00,Not Available,95%,1200 mm (Matt Black),1 N,"Sleek design with quiet performance. Modern finish & refined details make it a perfect fit for stylish & contemporary spaces | 5-Star Rated BLDC fan delivering powerful airflow, uses 65 % less electricity than conventional fans, saves up to ‚¹ 1900* annually. | 30 W Rated Power consumption, while delivering 235 m³/min Air Delivery, 380 RPM peak performance | Boost, Breeze, Sleep, MOP, Timer Modes with Reverse rotation Feature | Peak Speed of 380 RPM with 7.5 Service value | Aluminium Rust free Blades | Peak Air Delivery of 235 m³/min | Epic UL BLDC+ Sleek Design with LED Underlight | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/e/p/epic_ul_black_cf.jpg
FHCIP5SDUB48,Elio Plus BLDC+ Ceiling Fan,₹ 4 389.00,₹ 7 100.00,Not Available,95%,1200 mm (Metallic Dusk),1 N,"No need to by-pass regulator: fan operates both on Remote as well as Step Regulator. | 5-Star Rated BLDC fan delivering powerful airflow, uses 65 % less electricity than conventional fans, saves up to ‚¹ 1900* annually. | Sleek design with quiet performance. Modern finish & refined details make it a perfect fit for stylish & contemporary spaces | Boost, Breeze, Sleep, MOP, Timer Modes with Reverse rotation Feature | Telescopic Height Adjustment | Aluminium Rust free Blades | Peak Air Delivery of 225 m³/min | Elio Plus BLDC+ Remote + Regulator Functionality | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcip5sdub48.jpg
FHCE15SWMB48,Elio Prime BLDC+ Ceiling Fan,4 499.00,8 930.00,Not Available,80%,1200 mm (Walnut Wood),1 N,"Sleek design with quiet performance. Modern finish & refined details make it a perfect fit for stylish & contemporary spaces | 5-Star Rated BLDC fan delivering powerful airflow, uses 65 % less electricity than conventional fans, saves up to ‚¹ 1900* annually. | 28 W Rated Power consumption, while delivering 235 m³/min Air Delivery, 380 RPM peak performance | Boost, Breeze, Sleep, MOP, Timer Modes with Reverse rotation Feature | Telescopic Height Adjustment | Aluminium Rust free Blades | Peak Air Delivery of 235 m³/min | Elio Prime Walnut BLDC+ with telescopic Canopy | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhce15swmb48.jpg
FHCIL5SSAB48,Inveno LX BLDC+ Ceiling Fan,8 519.00,13 590.00,Not Available,95%,1200 mm (Satin Brown),1 N,"Unique Phantom motor design for Whisper Quiet Silence level of 55* dB with only 37 W Power consumption | 5-Star Rated BLDC fan delivering powerful airflow, uses 50 % less electricity than conventional fans, saves up to ‚¹ 1900* annually. | BLDC motor with Remote functionality ( by pass regulator) with multiple modes and reverse rotation | Breeze, Sleep, MOP, Timer Modes with Reverse rotation Feature | Telescopic Height Adjustment | ABS Plastic blades | Superior Air Delivery of 230 m³/min | Inveno LX BLDC+ with Phantom Motor Design in ABS Blade | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcil5ssab48.jpg
FHCWH5SSBW52,Florette All Weather BLDC+ Ceiling Fan,15 539.00,24 780.00,Not Available,95%,1320 mm (Pinewood/Walnut Wood),1 N,"True All weather functionality with 700 W PTC heater - NO oxygen burnout - Increases room temperature by 6° in peak winters | 5-Star Rated BLDC fan delivering powerful airflow, uses 50 % less electricity than conventional fans, saves up to ‚¹ 1900* annually. | Premium Wood blades with both side usability with whisper quiet Silence level perfromance | Breeze, Sleep, MOP, Timer Modes with Reverse rotation Feature | Downrod cover | Reversible Wood blades | Superior Air Delivery of 245 m³/min | FLORETTE All Weather BLDC Undelight fan with 700 W PTC heater | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcwh5ssbw52.jpg
FHCCT5SCPG48,Cera Underlight BLDC+ Ceiling Fan,5 839.00,9 320.00,Not Available,100%,1200 mm (Champagne),1 N,"Telescopic canopy to adjust ceiling height | Reverse Rotation for circulating warm air during winter | Balanced & smart design that provides easy cleaning. | 100 % Copper wire motor | BLDC Motor | ISI Marked | All Direction Sensing RF Remote with Breeze, Sleep, Boost , Mop, Reverse modes along with Timer setting upto 8 hours | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/h/a/havells_cera_champange_cf_main.jpg
